gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1899346086,d9522343-146c-4d6b-b312-543d4d8ca0e8,0a4ac943-69ab-4863-8d14-13c23ed1ee8e,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,King Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899341071,d9522343-146c-4d6b-b312-543d4d8ca0e8,f2f8774b-5bc4-491a-b4aa-5da6d316a24b,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Prospect Cemetery,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.684849,-79.455164,1030,,,,,,1949-05-20T00:00:00,20,5,1949,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034267,,,,,,,,,,,
1899341070,d9522343-146c-4d6b-b312-543d4d8ca0e8,be2f807d-d4b0-48aa-82a1-b979d6e3a6fd,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Mount Pleasant Cemetery,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.695841,-79.383994,1000,,,,,,,,,,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034269,,,,,,,,,,,
1899341063,d9522343-146c-4d6b-b312-543d4d8ca0e8,0592c793-9fc5-46f1-9e7b-d5741162fcfc,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,City Garden,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.732195,-79.368602,22000,,,,,,,,,,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034266,,,,,,,,,,,
1899341008,d9522343-146c-4d6b-b312-543d4d8ca0e8,ddd621da-5db2-4dd6-8466-24d2c21adb64,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Don Valley,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.748683,-79.342232,11000,,,,,,1948-10-16T00:00:00,16,10,1948,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034268,,,,,,,,,,,
1899340932,d9522343-146c-4d6b-b312-543d4d8ca0e8,0744e0ab-5c58-4825-8722-a7b5dcbf5154,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Cressy,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,44.087813,-76.880928,2750,,,,,,1928-06-05T00:00:00,5,6,1928,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034910,,,,,,,,,,,
1899337774,d9522343-146c-4d6b-b312-543d4d8ca0e8,63d6230e-a344-44ca-b129-66ea9e63a4ad,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Fitzwilliam Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337753,d9522343-146c-4d6b-b312-543d4d8ca0e8,159368d0-cb3f-4d3d-bb68-35d07ca12c16,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Fitzwilliam Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337734,d9522343-146c-4d6b-b312-543d4d8ca0e8,6844f702-1a0c-463a-aa28-e547d41b1842,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337727,d9522343-146c-4d6b-b312-543d4d8ca0e8,752265df-b79f-403f-8f88-9b300329f261,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island Indian Reserve 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337724,d9522343-146c-4d6b-b312-543d4d8ca0e8,f52aa7ab-e8c0-40d6-83c8-509a21d7c981,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337722,d9522343-146c-4d6b-b312-543d4d8ca0e8,20b8261b-1a40-4e1d-8eed-1912ab248f02,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337717,d9522343-146c-4d6b-b312-543d4d8ca0e8,6334813a-f370-454c-b98f-ca1aca1b5f86,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Heywood Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899337699,d9522343-146c-4d6b-b312-543d4d8ca0e8,5c5c92eb-bb30-4609-bdb2-d4811240e41f,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Manitoulin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
